wohnviertelid,Wohnviertel,Reineinkommensklasse,Veranlagungen,Reineinkommen,Einkommenssteuerbetrag
1,Altstadt Grossbasel,1_0 bis 29 999,640,7257907,113268
1,Altstadt Grossbasel,2_30 000-59 999,271,12238573,1399279
1,Altstadt Grossbasel,3_60 000-89 999,245,18121653,2831659
1,Altstadt Grossbasel,4_90 000-119 999,149,15385085,2526420
1,Altstadt Grossbasel,5_>120 000,370,111343117,21030480
2,Vorstädte,1_0 bis 29 999,828,10624171,238686
2,Vorstädte,2_30 000-59 999,703,31907523,3678169
2,Vorstädte,3_60 000-89 999,509,37404682,5521607
2,Vorstädte,4_90 000-119 999,312,32487674,5154045
2,Vorstädte,5_>120 000,647,185743630,34605124
3,Am Ring,1_0 bis 29 999,1862,22680666,501619
3,Am Ring,2_30 000-59 999,1643,74346068,8203092
3,Am Ring,3_60 000-89 999,1107,81268837,11595108
3,Am Ring,4_90 000-119 999,610,63133685,9665306
3,Am Ring,5_>120 000,1017,231740098,40631440
4,Breite,1_0 bis 29 999,1574,22340009,652776
4,Breite,2_30 000-59 999,2006,90923616,9647056
4,Breite,3_60 000-89 999,1095,79371228,10462716
4,Breite,4_90 000-119 999,441,45121568,6823593
4,Breite,5_>120 000,381,71683162,12476514
5,St. Alban,1_0 bis 29 999,1480,18948672,497955
5,St. Alban,2_30 000-59 999,1678,76735608,8272842
5,St. Alban,3_60 000-89 999,1252,92113994,12862088
5,St. Alban,4_90 000-119 999,704,72747965,11198223
5,St. Alban,5_>120 000,1325,386381951,71402990
6,Gundeldingen,1_0 bis 29 999,3653,49031816,1235146
6,Gundeldingen,2_30 000-59 999,3754,170170446,18111364
6,Gundeldingen,3_60 000-89 999,2345,170822853,23586361
6,Gundeldingen,4_90 000-119 999,923,95086617,14595939
6,Gundeldingen,5_>120 000,866,156278536,25988765
7,Bruderholz,1_0 bis 29 999,1236,13343734,302277
7,Bruderholz,2_30 000-59 999,1090,49631208,5185571
7,Bruderholz,3_60 000-89 999,880,64957357,8660902
7,Bruderholz,4_90 000-119 999,585,60671009,8985473
7,Bruderholz,5_>120 000,1195,386271054,75058599
8,Bachletten,1_0 bis 29 999,2024,25092219,634911
8,Bachletten,2_30 000-59 999,2205,100682606,10873625
8,Bachletten,3_60 000-89 999,1741,127708188,17445793
8,Bachletten,4_90 000-119 999,799,82177073,12143272
8,Bachletten,5_>120 000,1343,295275078,51334201
9,Gotthelf,1_0 bis 29 999,1182,16383480,457669
9,Gotthelf,2_30 000-59 999,1286,58028326,6279484
9,Gotthelf,3_60 000-89 999,839,61401757,8410122
9,Gotthelf,4_90 000-119 999,410,42585697,6467124
9,Gotthelf,5_>120 000,474,87861972,14627373
10,Iselin,1_0 bis 29 999,3218,42623278,1041434
10,Iselin,2_30 000-59 999,3376,152309508,15748719
10,Iselin,3_60 000-89 999,1891,137247874,17925434
10,Iselin,4_90 000-119 999,700,72126495,10508006
10,Iselin,5_>120 000,554,100059270,16292040
11,St. Johann,1_0 bis 29 999,4076,50199844,1060128
11,St. Johann,2_30 000-59 999,3401,152278328,15254611
11,St. Johann,3_60 000-89 999,1887,137834412,17874194
11,St. Johann,4_90 000-119 999,736,76007590,11228206
11,St. Johann,5_>120 000,794,153145273,26310603
12,Altstadt Kleinbasel,1_0 bis 29 999,609,7646887,180202
12,Altstadt Kleinbasel,2_30 000-59 999,452,20366826,2278136
12,Altstadt Kleinbasel,3_60 000-89 999,223,16321074,2416530
12,Altstadt Kleinbasel,4_90 000-119 999,131,13592592,2179378
12,Altstadt Kleinbasel,5_>120 000,173,39247602,6818652
13,Clara,1_0 bis 29 999,932,12480122,292902
13,Clara,2_30 000-59 999,798,35803369,3684210
13,Clara,3_60 000-89 999,391,28338270,3802221
13,Clara,4_90 000-119 999,169,17562037,2656116
13,Clara,5_>120 000,148,26989783,4502823
14,Wettstein,1_0 bis 29 999,902,11541603,281294
14,Wettstein,2_30 000-59 999,1030,47227221,5268993
14,Wettstein,3_60 000-89 999,725,53268247,7526205
14,Wettstein,4_90 000-119 999,330,34361526,5390975
14,Wettstein,5_>120 000,468,107537568,18748412
15,Hirzbrunnen,1_0 bis 29 999,1415,18712248,446672
15,Hirzbrunnen,2_30 000-59 999,1773,81283272,8371567
15,Hirzbrunnen,3_60 000-89 999,1159,84827680,10738978
15,Hirzbrunnen,4_90 000-119 999,528,54441709,7721790
15,Hirzbrunnen,5_>120 000,414,74776933,12535496
16,Rosental,1_0 bis 29 999,1147,14236859,346762
16,Rosental,2_30 000-59 999,1055,47807625,4875552
16,Rosental,3_60 000-89 999,513,37479697,4853772
16,Rosental,4_90 000-119 999,228,23355566,3419367
16,Rosental,5_>120 000,215,40667113,6719547
17,Matthäus,1_0 bis 29 999,3723,46370273,992763
17,Matthäus,2_30 000-59 999,2785,124194932,12574489
17,Matthäus,3_60 000-89 999,1463,106547615,13942277
17,Matthäus,4_90 000-119 999,532,54660731,8231756
17,Matthäus,5_>120 000,549,121224758,21406923
18,Klybeck,1_0 bis 29 999,1693,21972368,479339
18,Klybeck,2_30 000-59 999,1430,63720741,5986765
18,Klybeck,3_60 000-89 999,672,48530751,5688306
18,Klybeck,4_90 000-119 999,188,19091088,2696205
18,Klybeck,5_>120 000,110,19743205,3412515
19,Kleinhüningen,1_0 bis 29 999,583,7424729,149741
19,Kleinhüningen,2_30 000-59 999,561,24911804,2260988
19,Kleinhüningen,3_60 000-89 999,299,21420850,2485475
19,Kleinhüningen,4_90 000-119 999,106,10872567,1532372
19,Kleinhüningen,5_>120 000,60,9310878,1469361
20,Riehen,1_0 bis 29 999,2838,33290316,743417
20,Riehen,2_30 000-59 999,2734,124114881,12247786
20,Riehen,3_60 000-89 999,2335,172979282,21723795
20,Riehen,4_90 000-119 999,1477,152838384,21282660
20,Riehen,5_>120 000,2374,585172462,101898307
30,Bettingen,1_0 bis 29 999,170,1913772,27461
30,Bettingen,2_30 000-59 999,103,4682416,433515
30,Bettingen,3_60 000-89 999,122,9015386,1085616
30,Bettingen,4_90 000-119 999,63,6580872,862679
30,Bettingen,5_>120 000,170,54623583,9814538
