wohnviertelid,Wohnviertel,Reinvermoegensklasse,Veranlagungen,Reinvermoegen,Vermoegenssteuerbetrag
1,Altstadt Grossbasel,1_0 bis 49 999,945,11427211,68
1,Altstadt Grossbasel,2_50 000-99 999,153,10863042,1148
1,Altstadt Grossbasel,3_100 000-299 999,197,35659740,59634
1,Altstadt Grossbasel,4_300 000-599 999,132,57970452,182471
1,Altstadt Grossbasel,5_ab 600 000,248,1584480288,8993661
2,Vorstädte,1_0 bis 49 999,1536,14957264,0
2,Vorstädte,2_50 000-99 999,295,21051252,3998
2,Vorstädte,3_100 000-299 999,436,80432181,136336
2,Vorstädte,4_300 000-599 999,254,109844791,349834
2,Vorstädte,5_ab 600 000,478,3950321121,18001384
3,Am Ring,1_0 bis 49 999,3383,33048684,0
3,Am Ring,2_50 000-99 999,599,43400142,6339
3,Am Ring,3_100 000-299 999,899,165366095,273049
3,Am Ring,4_300 000-599 999,528,225848702,720333
3,Am Ring,5_ab 600 000,830,2248898484,11858475
4,Breite,1_0 bis 49 999,3680,33061482,0
4,Breite,2_50 000-99 999,526,37705437,4992
4,Breite,3_100 000-299 999,705,124960647,205832
4,Breite,4_300 000-599 999,315,133972296,427045
4,Breite,5_ab 600 000,271,440761066,2181776
5,St. Alban,1_0 bis 49 999,3119,32067313,23
5,St. Alban,2_50 000-99 999,610,43758920,6126
5,St. Alban,3_100 000-299 999,1006,183206462,294303
5,St. Alban,4_300 000-599 999,579,250219148,776097
5,St. Alban,5_ab 600 000,1125,6147364999,36164256
6,Gundeldingen,1_0 bis 49 999,7971,68992890,18
6,Gundeldingen,2_50 000-99 999,1075,76905675,12246
6,Gundeldingen,3_100 000-299 999,1276,226301286,361366
6,Gundeldingen,4_300 000-599 999,609,255345094,806552
6,Gundeldingen,5_ab 600 000,610,1049893757,5199107
7,Bruderholz,1_0 bis 49 999,2360,23648622,0
7,Bruderholz,2_50 000-99 999,411,29578581,3913
7,Bruderholz,3_100 000-299 999,739,136954375,203995
7,Bruderholz,4_300 000-599 999,484,204673571,628215
7,Bruderholz,5_ab 600 000,992,12166901171,89267883
8,Bachletten,1_0 bis 49 999,4398,45066061,0
8,Bachletten,2_50 000-99 999,748,53864930,7317
8,Bachletten,3_100 000-299 999,1183,220038877,355063
8,Bachletten,4_300 000-599 999,704,297856025,942731
8,Bachletten,5_ab 600 000,1079,2737999829,13926100
9,Gotthelf,1_0 bis 49 999,2448,25617175,0
9,Gotthelf,2_50 000-99 999,409,29454090,4020
9,Gotthelf,3_100 000-299 999,601,109710572,179838
9,Gotthelf,4_300 000-599 999,336,141536819,446560
9,Gotthelf,5_ab 600 000,397,657454174,3402954
10,Iselin,1_0 bis 49 999,6844,55116374,141
10,Iselin,2_50 000-99 999,814,57987892,8530
10,Iselin,3_100 000-299 999,1132,202617935,321274
10,Iselin,4_300 000-599 999,491,205436873,649088
10,Iselin,5_ab 600 000,458,746008767,3386343
11,St. Johann,1_0 bis 49 999,7828,58332929,37
11,St. Johann,2_50 000-99 999,850,60271803,7554
11,St. Johann,3_100 000-299 999,1106,194231403,292083
11,St. Johann,4_300 000-599 999,561,238699975,744820
11,St. Johann,5_ab 600 000,549,885849037,4510556
12,Altstadt Kleinbasel,1_0 bis 49 999,1107,8661959,0
12,Altstadt Kleinbasel,2_50 000-99 999,131,9198897,1097
12,Altstadt Kleinbasel,3_100 000-299 999,160,28986248,49084
12,Altstadt Kleinbasel,4_300 000-599 999,77,32833513,101199
12,Altstadt Kleinbasel,5_ab 600 000,113,315853407,1632801
13,Clara,1_0 bis 49 999,1769,14459133,0
13,Clara,2_50 000-99 999,193,13632506,2237
13,Clara,3_100 000-299 999,238,43194724,71656
13,Clara,4_300 000-599 999,105,45993816,156374
13,Clara,5_ab 600 000,133,200059634,1008737
14,Wettstein,1_0 bis 49 999,2004,20122818,0
14,Wettstein,2_50 000-99 999,334,24241365,3866
14,Wettstein,3_100 000-299 999,494,89967792,152960
14,Wettstein,4_300 000-599 999,275,115653296,352617
14,Wettstein,5_ab 600 000,348,772771442,4082107
15,Hirzbrunnen,1_0 bis 49 999,3425,31246846,0
15,Hirzbrunnen,2_50 000-99 999,454,32642326,3480
15,Hirzbrunnen,3_100 000-299 999,706,128941970,197445
15,Hirzbrunnen,4_300 000-599 999,338,146936553,483003
15,Hirzbrunnen,5_ab 600 000,366,644365594,3206620
16,Rosental,1_0 bis 49 999,2488,16370337,0
16,Rosental,2_50 000-99 999,214,15346086,1825
16,Rosental,3_100 000-299 999,282,49098167,80005
16,Rosental,4_300 000-599 999,105,44220626,128948
16,Rosental,5_ab 600 000,69,118017323,591792
17,Matthäus,1_0 bis 49 999,6744,45628001,0
17,Matthäus,2_50 000-99 999,652,47561309,7207
17,Matthäus,3_100 000-299 999,844,147206435,226471
17,Matthäus,4_300 000-599 999,375,154949564,493347
17,Matthäus,5_ab 600 000,437,768945613,3722631
18,Klybeck,1_0 bis 49 999,3367,19546955,5
18,Klybeck,2_50 000-99 999,217,15210385,1521
18,Klybeck,3_100 000-299 999,299,53037260,78672
18,Klybeck,4_300 000-599 999,123,50427385,159245
18,Klybeck,5_ab 600 000,87,104280419,521447
19,Kleinhüningen,1_0 bis 49 999,1262,8293338,0
19,Kleinhüningen,2_50 000-99 999,113,8083825,667
19,Kleinhüningen,3_100 000-299 999,139,24063393,32956
19,Kleinhüningen,4_300 000-599 999,58,23438244,74328
19,Kleinhüningen,5_ab 600 000,37,46556495,224888
20,Riehen,1_0 bis 49 999,5960,57030662,2
20,Riehen,2_50 000-99 999,982,70411698,7103
20,Riehen,3_100 000-299 999,1687,309231443,456018
20,Riehen,4_300 000-599 999,1114,481243967,1509058
20,Riehen,5_ab 600 000,2015,6639004657,34194373
30,Bettingen,1_0 bis 49 999,289,2631265,0
30,Bettingen,2_50 000-99 999,40,2871668,467
30,Bettingen,3_100 000-299 999,81,14437333,19070
30,Bettingen,4_300 000-599 999,74,30933384,88751
30,Bettingen,5_ab 600 000,144,1431164620,9644651
